,State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
287,Maharashtra_Dhule,,,,,,,,,,,,,,,,,,
288,Maharashtra_Garhchiroli,,,,,,,,,,,,,,,,,,
289,Maharashtra_Gondiya,,,,,,,,,,,,,,,,,,
290,Maharashtra_Hingoli,,,,,,,,,,,,,,,,,,
291,Maharashtra_Jalgaon,,,,,,,,,,,,,,,,,,
292,Maharashtra_Jalna,,,,,,,,,,,,,,,,,,
293,Maharashtra_Kolhapur,,,,,,,,,,,,,,,,,,
294,Maharashtra_Latur,,,,,,,,,,,,,,,,,,
295,Maharashtra_Mumbai City,,,,,,,,,,,,,,,,,,
296,Maharashtra_Mumbai Suburban,,,,,,,,,,,,,,,,,,
297,Maharashtra_Nagpur,,,,,,,,,,,,,,,,,,
298,Maharashtra_Nanded,,,,,,,,,,,,,,,,,,
299,Maharashtra_Nandurbar,,,,,,,,,,,,,,,,,,
300,Maharashtra_Nashik,,,,,,,,,,,,,,,,,,
301,Maharashtra_Osmanabad,,,,,,,,,,,,,,,,,,
302,Maharashtra_Parbhani,,,,,,,,,,,,,,,,,,
303,Maharashtra_Pune,,,,,,,,,,,,,,,,,,
304,Maharashtra_Raigarh,,,,,,,,,,,,,,,,,,
305,Maharashtra_Ratnagiri,,,,,,,,,,,,,,,,,,
306,Maharashtra_Sangli,,,,,,,,,,,,,,,,,,
307,Maharashtra_Satara,,,,,,,,,,,,,,,,,,
308,Maharashtra_Sindhudurg,,,,,,,,,,,,,,,,,,
309,Maharashtra_Solapur,,,,,,,,,,,,,,,,,,
310,Maharashtra_Thane,,,,,,,,,,,,,,,,,,
311,Maharashtra_Wardha,,,,,,,,,,,,,,,,,,
312,Maharashtra_Washim,,,,,,,,,,,,,,,,,,
313,Maharashtra_Yavatmal,,,,,,,,,,,,,,,,,,
314,Meghalaya_East Garo Hills,,,,,,,,,,,,,,,,,,
315,Meghalaya_East Khasi Hills,,,,,,,,,,,,,,,,,,
316,Meghalaya_Jaintia Hills,,,,,,,,,,,,,,,,,,
317,Meghalaya_Ri Bhoi,,,,,,,,,,,,,,,,,,
318,Meghalaya_South Garo Hills,,,,,,,,,,,,,,,,,,
319,Meghalaya_West Garo Hills,,,,,,,,,,,,,,,,,,
320,Meghalaya_West Khasi Hills,,,,,,,,,,,,,,,,,,
321,Nagaland_Dimapur,,,,,,,,,,,,,,,,,,
322,Nagaland_Kohima,,,,,,,,,,,,,,,,,,
323,Nagaland_Mokokchung,,,,,,,,,,,,,,,,,,
324,Nagaland_Mon,,,,,,,,,,,,,,,,,,
325,Odisha_Anugul,,,,,,,,,,,,,,,,,,
326,Odisha_Balangir,,,,,,,,,,,,,,,,,,
327,Odisha_Baleshwar,,,,,,,,,,,,,,,,,,
328,Odisha_Bargarh,,,,,,,,,,,,,,,,,,
329,Odisha_Bauda,,,,,,,,,,,,,,,,,,
330,Odisha_Bhadrak,,,,,,,,,,,,,,,,,,
331,Odisha_Cuttack,,,,,,,,,,,,,,,,,,
332,Odisha_Debagarh,,,,,,,,,,,,,,,,,,
333,Odisha_Dhenkanal,,,,,,,,,,,,,,,,,,
334,Odisha_Gajapati,,,,,,,,,,,,,,,,,,
335,Odisha_Ganjam,,,,,,,,,,,,,,,,,,
336,Odisha_Jagatsinghapur,,,,,,,,,,,,,,,,,,
337,Odisha_Jajapur,,,,,,,,,,,,,,,,,,
338,Odisha_Jharsuguda,,,,,,,,,,,,,,,,,,
339,Odisha_Kalahandi,,,,,,,,,,,,,,,,,,
340,Odisha_Kandhamal,,,,,,,,,,,,,,,,,,
341,Odisha_Kendrapara,,,,,,,,,,,,,,,,,,
342,Odisha_Kendujhar,,,,,,,,,,,,,,,,,,
343,Odisha_Khordha,,,,,,,,,,,,,,,,,,
344,Odisha_Koraput,,,,,,,,,,,,,,,,,,
345,Odisha_Malkangiri,,,,,,,,,,,,,,,,,,
346,Odisha_Mayurbhanj,,,,,,,,,,,,,,,,,,
347,Odisha_Nabarangapur,,,,,,,,,,,,,,,,,,
348,Odisha_Nayagarh,,,,,,,,,,,,,,,,,,
349,Odisha_Nuapada,,,,,,,,,,,,,,,,,,
350,Odisha_Puri,,,,,,,,,,,,,,,,,,
351,Odisha_Rayagada,,,,,,,,,,,,,,,,,,
352,Odisha_Sambalpur,,,,,,,,,,,,,,,,,,
353,Odisha_Subarnapur,,,,,,,,,,,,,,,,,,
354,Odisha_Sundargarh,,,,,,,,,,,,,,,,,,
355,Puducherry_Karaikal,,,,,,,,,,,,,,,,,,
356,Puducherry_Puducherry,,,,,,,,,,,,,,,,,,
357,Puducherry_Yanam,,,,,,,,,,,,,,,,,,
358,Punjab_Amritsar,,,,,,,,,,,,,,,,,,
359,Punjab_Barnala,,,,,,,,,,,,,,,,,,
360,Punjab_Bathinda,,,,,,,,,,,,,,,,,,
361,Punjab_Faridkot,,,,,,,,,,,,,,,,,,
362,Punjab_Fatehgarh Sahib,,,,,,,,,,,,,,,,,,
363,Punjab_Firozpur,,,,,,,,,,,,,,,,,,
364,Punjab_Gurdaspur,,,,,,,,,,,,,,,,,,
365,Punjab_Hoshiarpur,,,,,,,,,,,,,,,,,,
366,Punjab_Jalandhar,,,,,,,,,,,,,,,,,,
367,Punjab_Kapurthala,,,,,,,,,,,,,,,,,,
368,Punjab_Ludhiana,,,,,,,,,,,,,,,,,,
369,Punjab_Mansa,,,,,,,,,,,,,,,,,,
370,Punjab_Moga,,,,,,,,,,,,,,,,,,
371,Punjab_Muktsar,,,,,,,,,,,,,,,,,,
372,Punjab_Patiala,,,,,,,,,,,,,,,,,,
373,Punjab_Rupnagar,,,,,,,,,,,,,,,,,,
374,Punjab_Sahibzada Ajit Singh Nagar,,,,,,,,,,,,,,,,,,
375,Punjab_Sangrur,,,,,,,,,,,,,,,,,,
376,Punjab_Shahid Bhagat Singh Nagar,,,,,,,,,,,,,,,,,,
377,Punjab_Tarn Taran,,,,,,,,,,,,,,,,,,
378,Rajasthan_Ajmer,,,,,,,,,,,,,,,,,,
379,Rajasthan_Alwar,,,,,,,,,,,,,,,,,,
380,Rajasthan_Banswara,,,,,,,,,,,,,,,,,,
381,Rajasthan_Baran,,,,,,,,,,,,,,,,,,
382,Rajasthan_Barmer,,,,,,,,,,,,,,,,,,
383,Rajasthan_Bharatpur,,,,,,,,,,,,,,,,,,
384,Rajasthan_Bhilwara,,,,,,,,,,,,,,,,,,
385,Rajasthan_Bikaner,,,,,,,,,,,,,,,,,,
386,Rajasthan_Bundi,,,,,,,,,,,,,,,,,,
387,Rajasthan_Chittaurgarh,,,,,,,,,,,,,,,,,,
388,Rajasthan_Churu,,,,,,,,,,,,,,,,,,
389,Rajasthan_Dausa,,,,,,,,,,,,,,,,,,
390,Rajasthan_Dhaulpur,,,,,,,,,,,,,,,,,,
