State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
Chhattisgarh_Janjgir-Champa,7.037619048,6.816666667,6.284285714,6.772380952,6.975,8.3645,6.9725,7.053,5.924285714,6.64047619,6.652857143,7.788571429,6.174285714,8.215238095,7.895238095,7.224977872,7.856671997,7.238448634
Chhattisgarh_Jashpur,6.707407407,7.351111111,7.245555556,6.626666667,6.99,7.085925926,6.82,6.418846154,6.918076923,6.036666667,6.498518519,7.551111111,7.362222222,7.151851852,6.987407407,7.080944941,7.021617658,7.167789442
Chhattisgarh_Kabeerdham,6.54,6.548,7.622,7.957,8.976,8.396,7.904444444,7.632222222,7.641111111,6.356666667,9.094444444,7.878888889,9.34875,8.62,7.262,8.633370279,7.729627105,8.519681406
Chhattisgarh_Korba,8.759375,8.57375,9,8.934375,8.51125,9.339375,8.508125,8.72,8.256666667,8.169333333,9.032666667,9.314666667,8.275714286,9.637142857,8.737857143,9.398676844,9.204423595,9.266539364
Chhattisgarh_Koriya,6.997647059,7.626470588,7.145882353,6.125294118,7.119375,7.593333333,8.044666667,7.212857143,8.26125,6.275625,6.12875,7.39875,7.667647059,7.079411765,8.603529412,7.421424032,8.267781774,7.464483055
Chhattisgarh_Mahasamund,9.7675,10.06095238,10.35619048,8.704285714,10.32047619,10.02263158,8.121052632,8.590555556,8.750526316,9.972222222,5.071578947,9.626,8.2725,6.783888889,6.921666667,8.544134017,8.777871294,8.042015635
Chhattisgarh_Raigarh,7.587931034,7.152758621,7.398275862,7.104482759,7.469655172,7.465,6.835357143,6.775,7.335,6.7475,7.101428571,7.617142857,6.805,7.046153846,5.984615385,7.169964567,6.46268626,7.082224337
Chhattisgarh_Raipur,8.837209302,8.543953488,9.156511628,7.22627907,7.996666667,8.035853659,6.31097561,8.167560976,7.724186047,8.385813953,5.431190476,9.083421053,7.873947368,6.540555556,6.249459459,8.073746327,7.264316341,7.263384177
Chhattisgarh_Rajnandgaon,7.455454545,7.726818182,8.204090909,7.779090909,8.284285714,8.3275,7.814,7.394736842,7.655555556,7.114117647,7.494210526,8.337368421,8.091666667,7.31,8.052941176,8.08790705,7.853486556,7.747521981
Chhattisgarh_Surguja,8.788837209,8.929767442,8.76255814,8.588837209,9.180697674,9.511904762,10.14714286,9.064761905,9.142325581,8.782619048,8.367142857,9.118536585,8.824,8.17,9.384,8.552899031,8.865901181,8.603767223
Chhattisgarh_Uttar Bastar Kanker,7.469090909,7.293636364,7.049090909,8.151818182,8.269090909,6.535,6.726,6.838,7.505,5.605,4.505,6.87,7.116363636,6.143636364,5.881818182,6.446908008,6.073562464,6.43391016
Dadra and Nagar Haveli_Dadra and Nagar Haveli,7.81,7.318333333,7.078333333,7.245,7.506666667,7.208333333,5.283333333,6.873333333,4.848333333,5.473333333,8.158333333,8.435,8.438333333,8.266666667,9.07,8.342138029,8.097080456,8.504516522
Daman and Diu_Daman,5.796666667,4.37,4.133333333,4.253333333,5.643333333,6.17,4.976666667,6.546666667,4.803333333,6.33,7.806666667,8.543333333,3.976666667,4.51,5.81,4.954393898,5.702004609,4.590345343
Daman and Diu_Diu,2.81,3.43,3.2,3.67,3.8,3.35,3.26,3.26,9.23,4.07,4.13,2.9,4.2,4.27,5.1,4.150187181,4.311998248,4.181120936
Goa_North Goa,6.31,5.6745,5.6145,4.998,5.5655,5.743,5.3545,5.222,5.79,4.818,5.0245,5.26,4.1395,5.2105,5.411,5.194372038,5.34608143,5.111845746
Goa_South Goa,7.0005,6.177,6.1515,5.955,6.991,6.835,6.161,6.73,6.844,6.771,6.3015,6.1565,5.1265,6.2735,6.3985,6.00050434,6.124359506,5.987586728
Gujarat_Ahmadabad,25.335,27.7365625,27.5725,25.5953125,25.60645161,23.84,23.082,30.31433333,27.18233333,24.75032258,23.76096774,20.791,21.50285714,20.87571429,21.67464286,19.42504642,22.57661947,21.63208979
Gujarat_Amreli,17.57192982,13.72535714,15.2977193,12.94842105,13.25964286,17.11357143,13.085,14.69875,16.01125,19.23821429,14.75574074,15.38425926,16.36056604,16.65254902,17.5088,16.44818953,17.39236959,16.64346671
Gujarat_Anand,14.03772727,10.92318182,8.89,10.97363636,10.14727273,11.17590909,11.54454545,12.24714286,13.06380952,11.04047619,7.880952381,12.15857143,13.60714286,14.71904762,13.082,13.92653876,13.0623873,13.54251
Gujarat_Banas Kantha,30.60485714,29.71085714,27.38342857,26.88542857,27.63969697,30.64235294,31.7515625,32.44193548,32.11933333,33.05933333,30.87466667,34.17166667,33.52,33.86454545,37.88772727,33.62264723,52.00378652,35.59112536
Gujarat_Bharuch,7.76,7.105625,7.0228125,6.628125,6.4821875,8.529375,8.0134375,6.645,7.288709677,6.153870968,10.82225806,7.832903226,6.397741935,6.837419355,6.441290323,7.100344856,6.726243865,6.919405713
Gujarat_Bhavnagar,12.97086957,9.980851064,10.96808511,8.270851064,11.47755556,12.54733333,9.711363636,12.93295455,13.10860465,14.06934783,14.42288889,15.29822222,15.28204545,12.73317073,12.2502439,12.9916921,12.99978775,13.2628853
Gujarat_Dahod,7.381363636,8.291363636,6.623181818,7.416818182,8.504090909,10.55727273,9.558181818,7.98,8.234545455,6.893636364,15.75409091,9.610454545,8.300454545,8.921363636,8.634090909,8.788002314,10.48743589,9.030977601
Gujarat_Gandhinagar,57.53571429,64.925,62.785,61.82,62.2925,66.87,65.86,67.2125,60.26,62.10125,57.43625,59.09375,64.54875,60.3775,61.8175,59.42704084,61.15133096,42.85443045
Gujarat_Jamnagar,13.36660377,11.33886792,11.00377358,10.05423077,11.37192308,12.07596154,9.489411765,9.730384615,12.9826,10.188,9.77122449,13.77285714,13.6244898,10.78531915,11.92913043,11.15336831,12.29888836,11.0272182
Gujarat_Junagadh,13.61052632,12.45210526,12.53789474,11.58293103,12.22637931,13.80310345,11.52344828,12.44689655,15.03,14.60145455,9.632727273,14.24472727,14.42163636,14.97240741,14.37415094,14.31543344,13.60343032,14.21260771
Gujarat_Kachchh,14.55651515,14.58469697,13.448,13.35681818,13.73924242,13.64484848,14.33693548,12.95129032,14.53583333,17.4240678,19.21807018,17.47963636,18.24553571,18.30849057,19.72666667,19.03277591,20.29889179,19.00245783
Gujarat_Kheda,11.8852381,9.711904762,9.00952381,8.247619048,9.311904762,9.163333333,9.037142857,10.05285714,10.32095238,9.124761905,10.17142857,9.644285714,9.59952381,9.7655,10.109,9.713307818,10.97103874,9.713473094
Gujarat_Mahesana,41.57916667,40.445,38.84333333,36.73541667,37.57583333,41.57625,39.67791667,35.65521739,34.76818182,44.41086957,46.68304348,44.38217391,45.16478261,19.334,21.5085,26.77402533,27.46062629,29.36320398
Gujarat_Narmada,13.89142857,12.76357143,13.00642857,12.415,12.32928571,13.055,11.05384615,11.42230769,12.08769231,12.64538462,11.60384615,12.45076923,9.460769231,12.06538462,11.81384615,11.43644248,11.98862382,11.7689522
Gujarat_Navsari,8.210588235,8.627647059,9.297058824,9.144705882,8.588823529,9.984705882,7.882352941,9.307647059,9.041875,7.97625,8.011875,9.315,9.224375,10.23375,8.486875,9.727650336,8.923379911,9.550095518
Gujarat_Panch Mahals,7.9925,8.23125,7.1725,7.07375,8.534166667,9.475833333,8.095416667,8.359166667,8.170416667,6.82125,9.620869565,8.859565217,7.764782609,8.154090909,8.902857143,8.960556488,8.983115017,8.712233352
Gujarat_Patan,31.74842105,30.14157895,29.56888889,27.91789474,31.59842105,29.99052632,37.82176471,33.18625,34.573125,23.26473684,25.35842105,24.39210526,28.59823529,28.48857143,33.51571429,29.09234214,32.40241608,30.60316362
Gujarat_Porbandar,11.07733333,10.73866667,8.803333333,7.879333333,8.804666667,8.383333333,6.444666667,7.892142857,11.895,8.016666667,9.005333333,10.86333333,11.56266667,9.274666667,10.74733333,9.342768523,11.59662054,9.749671345
